x	low	mean	high	median
-14.84	1.2172558803784759e-94	1.131529785907531e-06	2.5034840245333644e-12	5.884819006629757e-37
-14.52	6.393198540033256e-82	2.8744186006937065e-06	8.227944821841676e-11	7.003769586043092e-32
-14.2	3.120977290280017e-70	7.316478645294783e-06	1.9745512390570407e-09	3.1130146977352488e-27
-13.879999999999999	2.516771170391965e-59	1.872405256894009e-05	3.735655648028179e-08	6.604904089669517e-23
-13.56	2.447295076923658e-49	4.823616494626597e-05	5.828262932190583e-07	4.709052100694466e-19
-13.24	8.012387976176859e-40	0.00012493719575817314	6.71719709944502e-06	1.4740232479801262e-15
-12.92	1.8092339775515748e-31	0.00032425530683226605	6.233218222855379e-05	2.1765473165803516e-12
-12.6	4.596009695902746e-24	0.000840337294216793	0.0004566754552779221	1.271148137375581e-09
-12.280000000000001	1.6057243152655817e-17	0.0021752552202097754	0.002585961976281719	3.034357991063695e-07
-11.96	4.158395299444946e-12	0.005662063202392442	0.010925317005589543	2.950341446037901e-05
-11.64	7.514499287011912e-08	0.01504190499375192	0.03639204384339951	0.001180585248842346
-11.32	0.00011572397542788944	0.04132185978104687	0.09476698412717086	0.019193675574185737
-11.0	0.014874747341083409	0.11751497445964912	0.19480998860148602	0.1158575549157522
-10.68	0.17711186933394382	0.29053579545520397	0.4224418902953907	0.26504510358434585
-10.36	0.23288146023087308	0.4163799067482581	0.6339664880844069	0.38393954620155996
-10.04	0.08387835643232577	0.26679619968242085	0.42299055893593646	0.25221686459375603
-9.719999999999999	0.010073106722491768	0.11180171168784465	0.22194947883654303	0.08641702761848385
-9.399999999999999	0.011065041739203862	0.09931685296464295	0.19340320441738446	0.07378254576406243
-9.08	0.1922284973338731	0.3859477145146629	0.5899623869741152	0.3696880831487011
-8.76	0.7618172225807678	0.918721232741798	1.0765248002213985	0.9150514964410836
-8.440000000000001	0.3237165579826634	0.41393922817558737	0.5074098434256826	0.4055562616866778
-8.120000000000001	0.011251263169552234	0.036394598751684375	0.06374678951369236	0.030471077494952287
-7.8	2.4262385111104003e-05	0.0018494328639647502	0.0038053315247199024	0.0004393656166751355
-7.48	3.5838816383060963e-09	0.0001888738324158571	0.0001748768872894168	1.9317169717057927e-06
-7.16	4.5310797277929846e-14	4.458248309916751e-05	6.848172392243087e-06	2.7763534751935935e-09
