x	low1	mean1	high1	low2	mean2	high2
2.500000000000000139e-02	9.939079520530903766e-02	5.076185821664793707e-01	9.450828070875981757e-01	4.712626102040867108e-04	2.607152304585890271e-02	5.394894781748815760e-02
7.500000000000001110e-02	2.298264880824835710e-01	5.991729753844075024e-01	9.471478797516093007e-01	9.022068624361537573e-04	3.100311123358879400e-02	6.593587104483134009e-02
1.250000000000000000e-01	4.412249351633801275e-01	7.183166976967356732e-01	9.654002754534092290e-01	1.497922552524263810e-03	3.755152150983547682e-02	8.091971182302694354e-02
1.750000000000000167e-01	6.706420637286991671e-01	8.554116726189817665e-01	1.041662485431408269e+00	2.234631111251165342e-03	4.545894419154164479e-02	9.565132485096335124e-02
2.250000000000000056e-01	7.529909204187245075e-01	9.829026385435787327e-01	1.240169424130931786e+00	3.149152865481486072e-03	5.382996008623851247e-02	1.111912441096868792e-01
2.750000000000000222e-01	7.329209070307737273e-01	1.060321406573088598e+00	1.412635582764099729e+00	4.076296496226826209e-03	6.126235849592318733e-02	1.248023303251502986e-01
3.250000000000000666e-01	6.683315403215854822e-01	1.053598359568111986e+00	1.479583027499079995e+00	5.230969498749959111e-03	6.645620975374852413e-02	1.313934428979056379e-01
3.750000000000000000e-01	5.883387449004682246e-01	9.567542935536156312e-01	1.356925176160057367e+00	6.184630007289298494e-03	6.908877237730805254e-02	1.343192053375386885e-01
4.250000000000000444e-01	4.948250923435987825e-01	7.969732655764706353e-01	1.113128954339027255e+00	7.256604526674528474e-03	7.044706337010450681e-02	1.361644118922108182e-01
4.749999999999999778e-01	3.830747687922067546e-01	6.178949554746168138e-01	8.621234328141982317e-01	8.436251052799539560e-03	7.347122783041951100e-02	1.417675728946947156e-01
5.250000000000000222e-01	2.543586301729178767e-01	4.562860495387999760e-01	6.581244605175968765e-01	9.624870986240411166e-03	8.233291917688043138e-02	1.573478480282386460e-01
5.750000000000000666e-01	1.386278018103654641e-01	3.299995504159581317e-01	5.026196372927635991e-01	1.285461743321047665e-02	1.020020483926524779e-01	2.017827742172992045e-01
6.250000000000000000e-01	7.044975533321855277e-02	2.405268614281543538e-01	3.924621330957046017e-01	1.839810904857839408e-02	1.382980785966895776e-01	2.833926058427864159e-01
6.750000000000000444e-01	3.870892812487652240e-02	1.815118362871812885e-01	3.158344770093319820e-01	3.225751015379241249e-02	1.985234401786493963e-01	3.904789542030502325e-01
7.250000000000000888e-01	2.579358906269971566e-02	1.452546764092868814e-01	2.644329783055547334e-01	6.806880858822843272e-02	2.916618658051000068e-01	5.266222483363011131e-01
7.750000000000000222e-01	2.076448426395531219e-02	1.252435339510236667e-01	2.293868896451849437e-01	1.514407368504779028e-01	4.260082796533414262e-01	6.783438940384787230e-01
8.250000000000000666e-01	2.095565385001144781e-02	1.161141221274987756e-01	2.094693564610588254e-01	3.159651828107601923e-01	6.022449379782250922e-01	8.594436444065576275e-01
8.750000000000000000e-01	2.299352001456709399e-02	1.128983241554063766e-01	2.000411018660909757e-01	5.346998913237503981e-01	8.030057205346313731e-01	1.066708147566748144e+00
9.250000000000000444e-01	2.362910191575319854e-02	1.108209345268874463e-01	1.965904420813854581e-01	7.084672858307508037e-01	9.866933193107193523e-01	1.286800633477712674e+00
9.750000000000000888e-01	2.364497070284451996e-02	1.059898472898853777e-01	1.852341576390295064e-01	7.897792870032436241e-01	1.097238642537300191e+00	1.413614066303865213e+00
1.024999999999999911e+00	2.227261746163381601e-02	9.634860853170318373e-02	1.719542151805534269e-01	7.803423752680993530e-01	1.091802663345267765e+00	1.411231121835852420e+00
1.075000000000000178e+00	1.853200424057980730e-02	8.205106635812832450e-02	1.444039659741457038e-01	6.944434028736539144e-01	9.682931591812055094e-01	1.259233273945659981e+00
1.125000000000000000e+00	1.398171141256022293e-02	6.503489359615541310e-02	1.141356771694604505e-01	5.371055996065047244e-01	7.681145780555789226e-01	1.012059400918091878e+00
1.175000000000000266e+00	9.235963433628074232e-03	4.800357334771898632e-02	8.543380359512768585e-02	3.565039675924507323e-01	5.508254215993000358e-01	7.488076599118104193e-01
1.225000000000000089e+00	5.133177808926880394e-03	3.324684404279572292e-02	6.069680276219093645e-02	1.843894190270064515e-01	3.630991192778030285e-01	5.268045503654775752e-01
1.274999999999999911e+00	2.491496054700522052e-03	2.189942861548796818e-02	4.206958456040547217e-02	7.772924633397841621e-02	2.246108537971575891e-01	3.614518110162000530e-01
1.325000000000000178e+00	1.022889127294515123e-03	1.395250480055269977e-02	2.743677913213413838e-02	2.662504404468428801e-02	1.331748730679214177e-01	2.424878911909509049e-01
1.375000000000000000e+00	3.318606465061514675e-04	8.743644455265415713e-03	1.760388023510909769e-02	7.525503984513605416e-03	7.705162246665019088e-02	1.545045360121434230e-01
1.425000000000000266e+00	9.507442609174739361e-05	5.463269979945685126e-03	1.110144682443061845e-02	1.762307746466052665e-03	4.404527876637620576e-02	9.535099167079516547e-02
1.475000000000000089e+00	2.366826586021011613e-05	3.436008601419294952e-03	6.763738216730798281e-03	3.605496976877962012e-04	2.504982463335597362e-02	5.590672270109673520e-02
1.524999999999999911e+00	4.972834679607202523e-06	2.188774957828333676e-03	4.076501062259275596e-03	6.726291883101921199e-05	1.421845543299300046e-02	3.073879289603802592e-02
1.575000000000000178e+00	8.438086795661377728e-07	1.417518673422938713e-03	2.425105715010216281e-03	1.117984201435718049e-05	8.062930769753666460e-03	1.601220209256399435e-02
1.625000000000000000e+00	1.306817595464476137e-07	9.346307922745072721e-04	1.403968036266274068e-03	1.439687062670354189e-06	4.569354136587772640e-03	8.000338454161908669e-03
1.675000000000000266e+00	1.557327755522271071e-08	6.269316390539452378e-04	7.985734458280592703e-04	1.761801054435594606e-07	2.588825475669056554e-03	3.791668042442736166e-03
1.725000000000000089e+00	1.776439579508532614e-09	4.271107808795287586e-04	4.478618374997633063e-04	1.966148438788233877e-08	1.467489194853574671e-03	1.740539557366707190e-03
1.774999999999999911e+00	1.590680409624033485e-10	2.951204565301459963e-04	2.434632194265732349e-04	1.761507669182003586e-09	8.332007813009584783e-04	7.715156153945914750e-04
