x	y	low	mean	high	median
0.0625	0.0625	0.3090012370569607	0.4545007588944882	0.5992506618180402	0.4395806606693392
0.1875	0.0625	0.3388616319262491	0.47946647213546295	0.6194250953421777	0.4691248565472742
0.3125	0.0625	0.3364102906779587	0.47339164839020464	0.6098783067725884	0.4645244522961216
0.4375	0.0625	0.3066702686956002	0.43675724317718373	0.5690116680575097	0.428835315589817
0.5625	0.0625	0.2540264316293393	0.37630559203337544	0.5011421512694064	0.3665872482647889
0.6875	0.0625	0.1937083806556973	0.30285870521376484	0.41293936008493637	0.29184449629025844
0.8125	0.0625	0.13604052318651852	0.22793882540420748	0.320927210674512	0.21696357986120413
0.9375	0.0625	0.08721951474420377	0.1607204673621326	0.23461608270714202	0.15105285823957995
1.0625	0.0625	0.051503014299184	0.10642810208581757	0.16155119639494542	0.0977476432326722
1.1875	0.0625	0.027510188772066707	0.06638025225916697	0.10508082705764842	0.05905738655916591
1.3125	0.0625	0.013527433954021603	0.03912392299671194	0.06459167673741283	0.033164418293510425
1.4375	0.0625	0.006016816825114728	0.021867880888050084	0.037584508780780373	0.017387660612196425
1.5625	0.0625	0.002472498181772328	0.011634664461383544	0.020797977530855348	0.008544601242045568
1.6875	0.0625	0.0009317978624476492	0.005915069944138723	0.010884622669999428	0.003868793699880099
1.8125	0.0625	0.0003156333291183492	0.0028848968060121534	0.005372578094106828	0.001620473971014078
1.9375	0.0625	9.725699435199639e-05	0.0013551181294948087	0.002530632421111464	0.0006335608282954968
2.0625	0.0625	2.7920942988604388e-05	0.0006154544896977591	0.0011200534326603773	0.000231041852645042
2.1875	0.0625	7.221406497911597e-06	0.00027129456086639136	0.00046845993554841945	7.857338788595496e-05
2.3125	0.0625	1.6949411830963458e-06	0.00011649330211482892	0.0001855117790975801	2.520517288442739e-05
2.4375	0.0625	3.7145009701960234e-07	4.8896038792272814e-05	6.978372340444888e-05	7.45809909767136e-06
0.0625	0.1875	0.4248149125800823	0.5700148682427354	0.714099209350181	0.5596306950837807
0.1875	0.1875	0.4960255825303102	0.6287867975058153	0.7620086126847715	0.6228889229259666
0.3125	0.1875	0.5252282203939903	0.6489112896859517	0.7710460643365195	0.6465493335516108
0.4375	0.1875	0.5065100504918529	0.6251619810555652	0.7439797612000179	0.6226391325749253
0.5625	0.1875	0.44513840725253384	0.5615765755184668	0.6805279136695552	0.5573787841275617
0.6875	0.1875	0.35927111660250566	0.4702698399695216	0.5835004573970386	0.4654755793479112
0.8125	0.1875	0.26696048298488534	0.36739099937504816	0.4700860724498499	0.36251980954376173
0.9375	0.1875	0.18163670607452617	0.26819021431452766	0.3551205673267563	0.26302773689115605
1.0625	0.1875	0.11324965597274025	0.1833553327202158	0.2531329157021743	0.17864734898937018
1.1875	0.1875	0.06455602601748334	0.11774329805233642	0.16957500227416933	0.1125866456432098
1.3125	0.1875	0.03353331555432164	0.07125580176721945	0.10859842033846984	0.06591885870413298
1.4375	0.1875	0.01603342406950718	0.04078834164587841	0.06558835827858037	0.036132220847188506
1.5625	0.1875	0.006992685781731424	0.0221702911238007	0.03749216712070146	0.018349981293196024
1.6875	0.1875	0.0027620886743682776	0.01148883659457708	0.020270788808263558	0.008644058353024415
1.8125	0.1875	0.0009924180166520583	0.005699449904581099	0.0103958317127449	0.0038306325658421297
1.9375	0.1875	0.0003303071298815951	0.0027178980123934264	0.005051809754054492	0.001571071421832855
2.0625	0.1875	0.00010005313142540668	0.0012509864436015712	0.002328496367930974	0.0006019190158365279
2.1875	0.1875	2.7438574690123903e-05	0.0005579929490505483	0.0010062974218560995	0.00021665658840835646
2.3125	0.1875	6.839162698960376e-06	0.0002421234216889994	0.00041606846225402495	7.143748412122758e-05
2.4375	0.1875	1.5451306385144196e-06	0.00010258099680878989	0.0001628843417257561	2.1946791669118234e-05
0.0625	0.3125	0.4956528540559466	0.6427888618316682	0.7879261600203624	0.634010758422895
0.1875	0.3125	0.6166939934946015	0.7419415788417798	0.8635620616681217	0.7384576516581145
0.3125	0.3125	0.6973624369598732	0.8014149196227075	0.9070505475994628	0.7993107444864165
0.4375	0.3125	0.7113134048317719	0.8078310906735032	0.9033280470252847	0.8057599682104086
0.5625	0.3125	0.6623985138431425	0.7585266916289821	0.8557074587210397	0.7555780235715432
0.6875	0.3125	0.5667866569582068	0.6629317550725268	0.7611328637107184	0.6604683699557501
0.8125	0.3125	0.4478863353640084	0.5394137146142021	0.6320256648035634	0.5379145309149664
0.9375	0.3125	0.3245334307091148	0.4091255474719396	0.4938247428487398	0.40765405492471135
1.0625	0.3125	0.21498018800846416	0.28984645978518264	0.36378386751516273	0.2885268338743847
1.1875	0.3125	0.13073727681853803	0.19233488911913188	0.2531943013551265	0.19052654642698597
1.3125	0.3125	0.07238575178510573	0.11994128132519762	0.16785218337857266	0.1170634892257671
1.4375	0.3125	0.03662658691191343	0.0705534934405749	0.10492734580501928	0.06715147537496813
1.5625	0.3125	0.016811802361284555	0.0393050213966168	0.06226529828005511	0.03559929534617779
1.6875	0.3125	0.007075854271015488	0.020824485316160338	0.03471099802872653	0.017610921921288575
1.8125	0.3125	0.0027108182468011215	0.010537920546636324	0.01843582600125976	0.008129201851085153
1.9375	0.3125	0.000942173495140181	0.005115161239929145	0.009270852661753608	0.0035027181600730452
2.0625	0.3125	0.0003027470360296539	0.0023919051420924313	0.004450007693319454	0.001400374767175681
2.1875	0.3125	8.766208294400385e-05	0.0010820062039620221	0.0020098949758689437	0.0005205352109707992
2.3125	0.3125	2.2982937378904245e-05	0.00047542297150675257	0.0008581208023438409	0.00017896235406168208
