mu	sd
0.3309347143519802	0.26347406911053545
0.42588230486186746	0.31209738614274657
0.8879491143460779	0.23820954781929088
0.6795597800081128	0.3041238492559626
1.0729203216937917	0.18821004330692567
0.35354981719385314	0.27654042442943033
1.040787531878167	0.20740806554059277
0.26886397197468276	0.22254682990466879
0.3472877975693431	0.27301928050228386
0.7321291673622756	0.26685286699635713
0.6322639356162014	0.2986924863145635
0.6197168310433171	0.29685692903600236
0.9917223901061185	0.21882873151693452
0.5649085797923542	0.28667246982922917
1.012630629070311	0.20425457421717533
0.3771771346409209	0.2891724183029314
0.26935078381558125	0.22289664031247583
0.5916646296850899	0.292098797929773
0.8178103134620972	0.2675654447736076
0.371508755657662	0.28623492845361004
1.0238416825359973	0.2220352880394156
0.6483513777004883	0.3007950774427232
0.5828384399593846	0.2904071027393785
0.788391095227	0.2677571983450559
1.021753461063128	0.20511737910179217
0.7176701027873569	0.2662403009624716
0.8239337838426392	0.2674948472562441
0.8234802754141956	0.2675002939024002
0.8701890779079543	0.23864660389958203
0.6871613643097292	0.30479583789407
0.884519006991207	0.23828658338248046
0.6217235788691989	0.29716233381589885
0.37248080663199684	0.2867427959572523
0.27845564954439744	0.2293567311505796
0.5855756380737229	0.29094195124287764
0.3495493112838753	0.2742994238073457
0.41365684306909933	0.23798074657760668
0.9663188344963116	0.23890359891084662
0.2836972868263551	0.23300415231201096
0.9175798149539123	0.23779580425512012
0.42010631719556973	0.30958845079713854
1.1019664892585208	0.21990616631351292
0.3893790227488787	0.2953005725048015
0.3245276865746884	0.259594843207486
0.6854084009858978	0.2641848150595424
0.3320381958231295	0.264134219966892
0.413262780101984	0.3065446104393744
0.5914534217882952	0.2920594270231149
0.31071156246268256	0.25095962079237705
0.6985368391195879	0.26514184070475266
0.5799897035420288	0.2898406288731136
0.28645734180401766	0.234903534677599
0.7881397619927939	0.26775738785703224
0.38424418211786326	0.2927539266010264
0.6796536210176412	0.3041324599523605
0.3430582321691985	0.27059922332757763
0.591188359947625	0.2517884563740419
0.9087137583322482	0.2378616672546326
0.3576167685831761	0.2787880053781084
0.8804898352420297	0.23838224275243217
0.384097818335067	0.29268065340607163
1.1096246304357906	0.2220710491360074
1.0080409963622219	0.20387439780137873
1.0053863617516465	0.20367037745686378
0.35530323843930345	0.2775132220519607
0.7137485793144505	0.30676595907997256
0.3016795696300904	0.245114112471128
1.0750201567511029	0.21337627918529334
0.39066860514022794	0.29593285162591654
0.37267572150782696	0.2868444269468676
0.5561365566514131	0.28469660721484547
0.9928348923941865	0.2028558896915458
0.9382326392616994	0.21715399551726475
0.6307267664187746	0.29847699341590955
1.1701188147508117	0.21174382152137472
0.6007971599100758	0.29374974387306185
0.9622997625049647	0.23869011930250866
0.8892995957607349	0.23818045315394024
0.3839880761129377	0.22473763390861284
0.6089312152693707	0.2951366376925537
0.6355961300545823	0.29915076436655835
0.524128976520607	0.2766320711830266
0.3236323957738454	0.25904647644613726
0.3745077525142249	0.2877963098531241
0.9993283368126179	0.2194103685991691
0.3417444947375296	0.2698406443163415
0.8191646959109498	0.2675504255268752
0.9657679579917866	0.21754798062475533
0.4983350932061496	0.26912819724269993
0.29738682193474236	0.2422802094682143
0.32388305675703866	0.2592001626233783
0.6274732788292958	0.29801231559429525
0.33301062748860333	0.2647140354046766
0.9029976497114512	0.23793343456548963
0.9320386798760809	0.26813039093366087
0.36091762659495163	0.2805896229535874
0.5877152149046773	0.29135361150209355
0.7441138453865869	0.26722980639519633
0.33443844709808407	0.26556209487921867
0.6013598666398554	0.2938482036304277
0.7141028844271462	0.26606110062287774
0.5660924036052716	0.24669885988058765
0.18763998141368865	0.1586959943099598
1.073156157790888	0.21298596841717443
0.7833280207599397	0.2677551336243129
0.2892359339198225	0.2368008289468822
0.754249360287561	0.26746311577075643
0.5937652636627021	0.2924874314379166
0.6934047876859157	0.30531007605122795
0.7948345803121365	0.2677425711557042
0.8504242565670649	0.23919289134614397
0.3527357930572925	0.27608685304228586
0.5820410019402308	0.2902495443740892
0.3753940923837439	0.28825465589104377
0.3475474399137354	0.2731667417180211
