x	y	low	mean	high	median
0.0625	0.0625	0.1805133204422014	0.27134874354605953	0.3632764680001	0.2617351596092855
0.1875	0.0625	0.2211873503124597	0.31716006093791926	0.41467679967554405	0.30987017668343825
0.3125	0.0625	0.24922862079093344	0.35120757900428856	0.4532747085342951	0.3447282861405934
0.4375	0.0625	0.26121902782790335	0.3676467812305603	0.4732018492473172	0.3610042939481287
0.5625	0.0625	0.25610336435408415	0.36319701149324396	0.46905631803616255	0.35534055670820913
0.6875	0.0625	0.23510957417943834	0.3382189129815109	0.4405046462799319	0.3299346183262605
0.8125	0.0625	0.2037420027642865	0.29671989796181175	0.3910225888292338	0.2884948109272712
0.9375	0.0625	0.16547716976942967	0.24524068794891216	0.32628968342228537	0.23713594479167177
1.0625	0.0625	0.12547584770612905	0.19106961780146714	0.2574952453576552	0.18342703600947685
1.1875	0.0625	0.08948738152867387	0.1404889619857321	0.1924578563928125	0.13375262815565828
1.3125	0.0625	0.05941558477554382	0.09764892650469999	0.13647274373837168	0.09234108270103228
1.4375	0.0625	0.03661631223927105	0.06429738225379887	0.09257897628995167	0.05998521340929935
1.5625	0.0625	0.020911254944166614	0.0402088658091636	0.06015515387336027	0.03687144319656313
1.6875	0.0625	0.011042378842579022	0.02394986474394637	0.037316874728129716	0.021254363981336687
1.8125	0.0625	0.00538347268093429	0.013630311081851467	0.022140959897862404	0.011496667176694224
1.9375	0.0625	0.002442129728239083	0.007436850629576875	0.012503890538063514	0.005933848753147387
2.0625	0.0625	0.0010161649320040253	0.003903693053177505	0.006732285125384319	0.0028852328195932706
2.1875	0.0625	0.0003983696418895972	0.001978458880488275	0.0034838784633081294	0.0013159862316132036
2.3125	0.0625	0.00014411935240135891	0.000971672946605042	0.001733754965139302	0.0005661180925379836
2.4375	0.0625	4.781938850469448e-05	0.0004641143694230009	0.0008266405130387927	0.00022962169849760871
0.0625	0.1875	0.2705768764818233	0.37015600955042577	0.46888091078015337	0.3638879666992043
0.1875	0.1875	0.3419970903869614	0.4383037603560602	0.5357794506990099	0.4336350480876354
0.3125	0.1875	0.39510018029561655	0.4917415150982121	0.5873550498079776	0.4897074239054249
0.4375	0.1875	0.4229874075775425	0.5215152813336116	0.6190176071167268	0.5201079089996063
0.5625	0.1875	0.4200110243249824	0.5218891288055557	0.6216661126086023	0.520363063807374
0.6875	0.1875	0.3914120140229186	0.49217583462648584	0.5914549072039352	0.49017241869086103
0.8125	0.1875	0.3440051034719255	0.4371143124090549	0.5309341712131339	0.4340224714254489
0.9375	0.1875	0.2833808653987103	0.3655640701018669	0.4485239722834633	0.36136384768248336
1.0625	0.1875	0.21946026116165107	0.2880346537839309	0.35759845343750934	0.2836455740305655
1.1875	0.1875	0.159249885092193	0.2140457388482171	0.27016752963858737	0.2098257131207679
1.3125	0.1875	0.10723745247390803	0.1502620444734406	0.19360640410635557	0.1467680601323728
1.4375	0.1875	0.06667385663799805	0.09985804846640887	0.13349546691164943	0.09677000372710343
1.5625	0.1875	0.03852917081088557	0.06297978504854797	0.08803242752343379	0.06001143064372015
1.6875	0.1875	0.020598212161783428	0.03780508449857173	0.055232891019839386	0.03523226183545848
1.8125	0.1875	0.010235242611838353	0.021667037622063713	0.033191797610557044	0.01946937268535287
1.9375	0.1875	0.004685132047996346	0.01189627876315358	0.01913232378574374	0.010134018387516763
2.0625	0.1875	0.0019917213926414446	0.0062793005947584775	0.010521541207539117	0.0049969306993024815
2.1875	0.1875	0.0007846236267113245	0.003197897516649999	0.00557313449087403	0.002311340793611166
2.3125	0.1875	0.0002847875630561725	0.0015770671779343772	0.002806506096054181	0.001014170614449729
2.4375	0.1875	9.595370106473753e-05	0.0007558581277087266	0.0013556928116579214	0.0004172503648639398
0.0625	0.3125	0.3566565253526124	0.46327938284098386	0.5696420628261589	0.4594308853956607
0.1875	0.3125	0.4624095599549539	0.5558392103513099	0.6504125513908146	0.5536207890855351
0.3125	0.3125	0.5510087209613036	0.6319803687404301	0.7144408142689166	0.6320209210664096
0.4375	0.3125	0.6021966067324299	0.6792891526556389	0.7567662788685606	0.6796823934549847
0.5625	0.3125	0.6076899292732383	0.6889129788650228	0.770227580860614	0.6891578796269642
0.6875	0.3125	0.5727541877247557	0.6583115960567462	0.7438456868772042	0.6573985681968101
0.8125	0.3125	0.5088761451746645	0.5922547175785234	0.675476798804342	0.5905457479747223
0.9375	0.3125	0.4261440009558823	0.5015453596731627	0.5765998642832818	0.49966532022968824
1.0625	0.3125	0.3362643392270231	0.39995773247828065	0.4632970008313099	0.39778530255109673
1.1875	0.3125	0.24909953505325466	0.3006440110129117	0.3532325525351129	0.2992586868886098
1.3125	0.3125	0.16998771897887138	0.21335226975078864	0.2574409573468259	0.2115279392230095
1.4375	0.3125	0.10741708314642426	0.1432310111199156	0.17962407187225532	0.14154638029020672
1.5625	0.3125	0.06293767780344713	0.0911907373789425	0.12005572430539654	0.08913927728373006
1.6875	0.3125	0.034170706422811774	0.055217479148494925	0.07641078540720127	0.05285834585417258
1.8125	0.3125	0.017093850170263453	0.03189925212069191	0.046865010616830564	0.029629975958213036
1.9375	0.3125	0.007918691442524477	0.017641049682051848	0.027523967985754162	0.015692919214201788
2.0625	0.3125	0.0033920143076199526	0.009372090223331731	0.01538083809970127	0.007833881463770285
2.1875	0.3125	0.001354429520815791	0.00480047016027856	0.00823572352740564	0.003681569421669224
2.3125	0.3125	0.0004984876399141443	0.0023792951253014424	0.004202208015927487	0.0016294698734237558
2.4375	0.3125	0.00017048536626401923	0.0011452625371719722	0.0020394745310740358	0.0006793692385282578
