xy	0.0625	0.1875	0.3125	0.4375	0.5625	0.6875	0.8125	0.9375	1.0625	1.1875	1.3125	1.4375	1.5625	1.6875	1.8125	1.9375	2.0625	2.1875	2.3125	2.4375
6.250000000000000000e-02	4.545007588944882104e-01	4.794664721354629511e-01	4.733916483902046446e-01	4.367572431771837294e-01	3.763055920333754356e-01	3.028587052137648450e-01	2.279388254042074846e-01	1.607204673621326074e-01	1.064281020858175719e-01	6.638025225916696637e-02	3.912392299671194063e-02	2.186788088805008412e-02	1.163466446138354364e-02	5.915069944138723161e-03	2.884896806012153363e-03	1.355118129494808747e-03	6.154544896977591018e-04	2.712945608663913568e-04	1.164933021148289197e-04	4.889603879227281410e-05
1.875000000000000000e-01	5.700148682427353952e-01	6.287867975058153425e-01	6.489112896859516866e-01	6.251619810555651968e-01	5.615765755184668473e-01	4.702698399695215969e-01	3.673909993750481551e-01	2.681902143145276640e-01	1.833553327202158134e-01	1.177432980523364231e-01	7.125580176721944825e-02	4.078834164587841205e-02	2.217029112380070055e-02	1.148883659457708081e-02	5.699449904581098923e-03	2.717898012393426405e-03	1.250986443601571213e-03	5.579929490505483201e-04	2.421234216889994056e-04	1.025809968087898857e-04
3.125000000000000000e-01	6.427888618316681679e-01	7.419415788417798030e-01	8.014149196227075000e-01	8.078310906735032271e-01	7.585266916289821193e-01	6.629317550725267738e-01	5.394137146142020667e-01	4.091255474719395768e-01	2.898464597851826419e-01	1.923348891191318799e-01	1.199412813251976156e-01	7.055349344057490479e-02	3.930502139661679745e-02	2.082448531616033771e-02	1.053792054663632398e-02	5.115161239929145141e-03	2.391905142092431297e-03	1.082006203962022125e-03	4.754229715067525707e-04	2.036945307760192514e-04
4.375000000000000000e-01	6.485494323109360915e-01	7.830790363779147611e-01	8.856972811989153316e-01	9.352096594883271274e-01	9.196096875487808076e-01	8.408995347296620571e-01	7.147841746473752034e-01	5.651971560429381869e-01	4.164337063329866528e-01	2.866184428392462569e-01	1.848680640327930169e-01	1.121580923082064196e-01	6.426576394918709356e-02	3.492845412101844987e-02	1.808651070415928652e-02	8.962928154178557288e-03	4.269720595860310164e-03	1.963838386686819586e-03	8.758263607742015422e-04	3.802878753324001365e-04
5.625000000000000000e-01	5.839522167677234643e-01	7.366335810236112058e-01	8.718939159349242685e-01	9.645229354263306076e-01	9.941554159105152610e-01	9.527267989554282224e-01	8.480128245281434163e-01	7.011112917096029573e-01	5.390370449465362590e-01	3.862022782840578428e-01	2.586121547286316380e-01	1.624334435658955356e-01	9.608487758064522544e-02	5.376327737928456724e-02	2.858542747976697967e-02	1.450914913530651322e-02	7.062938014879932731e-03	3.312489887306063318e-03	1.503418406225522693e-03	6.631692718783615322e-04
6.875000000000000000e-01	4.691480526207522650e-01	6.169643811892444596e-01	7.629719110279951089e-01	8.834450032393800223e-01	9.543304227921823868e-01	9.591132995185340793e-01	8.952359348915790438e-01	7.755803883536962484e-01	6.239541667268666547e-01	4.668695061208247288e-01	3.257234843625813059e-01	2.125933950152424090e-01	1.303160052266579549e-01	7.534930268179139412e-02	4.128537791873180401e-02	2.153813915952334027e-02	1.074944833209192860e-02	5.156799697982765440e-03	2.388887910076339070e-03	1.073434580856323173e-03
8.125000000000000000e-01	3.370562787846733133e-01	4.607772386887891702e-01	5.938943136195479200e-01	7.184011400288327076e-01	8.123026577391214698e-01	8.557280374731894845e-01	8.378918047879749809e-01	7.615407342673382596e-01	6.423261760213594407e-01	5.032316977508334288e-01	3.669282187916832472e-01	2.497161097643866290e-01	1.591994379589429243e-01	9.547445719281764942e-02	5.410899592058253382e-02	2.911846533600154219e-02	1.495204849385741580e-02	7.361654178718804106e-03	3.491922126510839733e-03	1.603180599897445144e-03
9.375000000000000000e-01	2.174670157171375295e-01	3.080258328883321295e-01	4.125161845337005917e-01	5.198862489930797803e-01	6.139487418754510095e-01	6.768888498232220607e-01	6.947120232496815095e-01	6.624270764955720869e-01	5.862939185091353700e-01	4.817451151101736495e-01	3.679627102622621826e-01	2.618661900017106858e-01	1.741935799110336525e-01	1.087315592997716851e-01	6.396848321606263266e-02	3.563876274200764027e-02	1.889546915676000235e-02	9.581220349392705407e-03	4.669154108305818320e-03	2.197281908085632011e-03
1.062500000000000000e+00	1.267369711334707660e-01	1.853429051795762172e-01	2.570255854555852371e-01	3.363941293476170880e-01	4.136960241495388213e-01	4.761821399483412987e-01	5.113277302648062683e-01	5.109540961625911315e-01	4.744046340982256416e-01	4.090527420351305343e-01	3.277354000442532223e-01	2.443964110896363895e-01	1.700720806837169585e-01	1.108255046949046668e-01	6.790478118942429309e-02	3.930072839543762020e-02	2.158974079731773577e-02	1.131361092649211218e-02	5.683591230636054516e-03	2.750656880188571528e-03
