x	y	low	mean	high	median
0.025	0.025	0.006917404568835854	0.2978690125792974	0.5238284568581474	0.1300925652783494
0.07500000000000001	0.025	0.010237628725992579	0.3375047745889576	0.645322024105747	0.1814437467856786
0.125	0.025	0.017544927042997482	0.38727138128760136	0.7706712471279414	0.23803673798529726
0.17500000000000002	0.025	0.026025871927558283	0.440836610716354	0.9443810599529067	0.27510897920952915
0.225	0.025	0.027437679762258336	0.4845844900552594	0.9743791187609647	0.28385630542272766
0.275	0.025	0.027281564384293477	0.5025711755021905	1.0154164264605214	0.2916592330478927
0.32500000000000007	0.025	0.026154881332858742	0.48550119639797323	0.9975776738690305	0.2624999105973195
0.375	0.025	0.02403188359324668	0.4364340443869548	0.8970413228967969	0.23565470926134857
0.42500000000000004	0.025	0.019748967221506583	0.36802857831366464	0.7170047880030945	0.19267116474557214
0.475	0.025	0.01308097545557527	0.29448385922582504	0.5886658015459243	0.1523103055678232
0.525	0.025	0.008275534565572657	0.2257619573505876	0.44424611823431465	0.10659439723657241
0.5750000000000001	0.025	0.004117809178594155	0.16708652565784832	0.3516774492715182	0.06553331230721464
0.625	0.025	0.0017459426245379763	0.12057345038470453	0.27605587445510005	0.0406770951247013
0.675	0.025	0.0005906709286125054	0.0860547493468151	0.2115053665320184	0.024378491936776246
0.7250000000000001	0.025	0.00018801107069884305	0.06158063566680545	0.14532089259032197	0.014562865963791418
0.775	0.025	3.8596259888209e-05	0.04449246144291743	0.10576288933885106	0.008739767317222397
0.8250000000000001	0.025	1.2890242854307004e-05	0.032462620482317295	0.07725260402306351	0.004330934225067268
0.875	0.025	4.685834448783071e-06	0.023862916220066775	0.056503592340382235	0.002201157226811485
0.925	0.025	8.040582416971794e-07	0.017643765074046858	0.04137024401953041	0.0011000011311063053
0.9750000000000001	0.025	2.1990895449159135e-07	0.013117412173524646	0.029087192368267952	0.0005298256538882311
1.025	0.025	5.68165328913501e-08	0.009810268793205026	0.02003686579759098	0.0002589764287406058
1.0750000000000002	0.025	1.790368105698542e-08	0.0073849582417014085	0.014311562380857186	0.00012133763346379778
1.125	0.025	5.289085957340227e-09	0.0055984254295405895	0.008925287648371676	7.343742862129358e-05
1.1750000000000003	0.025	1.0188593456623285e-09	0.004274945549130913	0.005750281795243901	3.60176239909448e-05
1.225	0.025	3.4984166391966534e-10	0.003287142120912094	0.003977259023729164	1.8809062203628745e-05
1.275	0.025	7.142057548321119e-11	0.002543070047234523	0.0025961785474738213	8.382581812961414e-06
1.3250000000000002	0.025	1.2661886948138041e-11	0.001977111270534864	0.0018931893905621484	3.3826558809335344e-06
1.375	0.025	4.123575601713385e-12	0.0015431631289789995	0.0013062302614199525	1.526349890920105e-06
1.4250000000000003	0.025	9.327322098042643e-13	0.0012091012899816409	0.0008615631145848496	5.21431750255841e-07
1.475	0.025	1.6794343868085142e-13	0.0009516932588414465	0.0005803894970932334	2.4722286654634025e-07
1.525	0.025	1.972495929868841e-14	0.0007529429717862988	0.0003673130563898373	1.1735160226984904e-07
1.5750000000000002	0.025	2.5290765830359212e-15	0.0005986979332632278	0.00021013864486762806	3.4363030189105046e-08
1.625	0.025	4.055460140278543e-16	0.0004782559770301864	0.00012994921491554947	8.848442391619765e-09
1.6750000000000003	0.025	7.120042405498497e-17	0.0003837415314801792	7.761979980639248e-05	2.1782724490845817e-09
1.725	0.025	1.340778713547385e-17	0.0003093117238547045	4.4203281441657214e-05	4.920528961596875e-10
1.775	0.025	1.2244018469790267e-18	0.000250539075211093	2.5184025398060355e-05	1.210644942940632e-10
1.8250000000000002	0.025	2.2887361954045335e-19	0.000204015931623384	1.4668449268938796e-05	3.437716992238295e-11
1.875	0.025	2.1279579654695022e-20	0.00016709637179835544	8.662978409954863e-06	6.786461568488594e-12
1.9250000000000003	0.025	1.9737429461993406e-21	0.00013771505063076386	5.035743035922698e-06	1.6703468649897628e-12
1.975	0.025	1.1395321187959153e-22	0.00011425429793628032	2.849282976006542e-06	3.1715740335256004e-13
2.0250000000000004	0.025	4.9694713340539734e-24	9.544452234259847e-05	1.7619596499050897e-06	5.317252737280329e-14
2.075	0.025	1.8457161347245156e-25	8.028852990729608e-05	1.0167350983574487e-06	1.4402687031336874e-14
2.125	0.025	9.946988908781859e-27	6.800333642949036e-05	5.325428177615513e-07	3.819722249621458e-15
2.175	0.025	4.5098206394063955e-28	5.797495756511931e-05	2.7801692288709205e-07	5.000590091236374e-16
2.225	0.025	1.936364298822048e-29	4.9722958229849285e-05	1.3584645328389822e-07	9.010204090355936e-17
