x	low	mean	high	median
0.02	0.40123480307935794	0.6219801462594965	0.850510453624727	0.6094516664281573
0.06	0.4185511203346392	0.623130052808358	0.8323156898232948	0.6139123304814369
0.1	0.43476336197305454	0.6239555384073042	0.8148571089462642	0.6181585896544748
0.14	0.4509499341726203	0.6244205682588752	0.7977225368756531	0.6215281122964622
0.18	0.4669893883023031	0.6244892621108927	0.7808057942054096	0.6240923968043617
0.22	0.483572111757214	0.6241262280892803	0.7638278466836395	0.6263127491983256
0.26	0.4975807129578373	0.6232969184498997	0.7473820661229938	0.6267038889855592
0.30000000000000004	0.5103150081283437	0.6219680036317564	0.7321340562040438	0.6270920182685511
0.33999999999999997	0.5219660398708259	0.6201077602554104	0.7177005661496374	0.6252606886132309
0.38	0.5329970286647285	0.6176864679838542	0.7031250609618114	0.6222998711606602
0.42000000000000004	0.5413666407678484	0.6146768094823185	0.6881073561674624	0.6187441363802082
0.45999999999999996	0.5466438648237479	0.6110542670990023	0.674710518666953	0.6148649859852453
0.5	0.5503245015488144	0.6067975093666504	0.6629184124481718	0.6097839336699713
0.54	0.5516768145671394	0.6018887600313083	0.6523991728951438	0.6026831896655904
0.5800000000000001	0.5494895524820104	0.5963141420672026	0.6443465139799784	0.5955814498132657
0.62	0.544594078768415	0.5900639890695941	0.6380420550887518	0.5878439847907944
0.66	0.5364004666311639	0.5831331165444682	0.6327855377593103	0.5792094204088406
0.7	0.525508682902214	0.5755210459596869	0.6277978318040783	0.5709250942434388
0.74	0.5127994430003474	0.5672321749872287	0.6224828957309929	0.5624131563982633
0.78	0.4981121007564447	0.5582758881607117	0.6175374067558594	0.5532603147643977
0.8200000000000001	0.483334496817316	0.5486666031797269	0.6113153129805349	0.5432924952410634
0.86	0.4683250596877146	0.538423749303276	0.6048892087155725	0.5328816606702091
0.9	0.45353670765671195	0.5275716756534574	0.5969030192012325	0.5221207728130374
0.94	0.438640262339162	0.5161394887677268	0.5884476562457611	0.5104212137310972
0.98	0.4239033612186465	0.5041608203416866	0.5795720853331183	0.4982248922572194
1.02	0.40920563931009146	0.49167352774949086	0.5676744546326897	0.48472311857429906
