name	low	median	high
xy_mux0	0.010484093019590322	0.2700133521667322	0.3408493030787684
xy_muy0	0.29843162230663933	0.3884576862065257	0.45221320359659234
xy_scalex0	0.12250862156453521	0.1997168882504236	0.39093183569700685
xy_scaley0	0.1248255413809003	0.18967560964490116	0.3089017694533899
xy_corr0	-0.22111691136776246	0.031113547250021648	0.29240879811814124
xy_amp1	0.42094219438073527	0.48607373294754264	0.554498630503803
xy_mux1	0.9291483690030348	0.9886668526964612	1.0450064447015293
xy_muy1	0.9159209966435211	0.9631246739991725	1.0135529858836005
xy_scalex1	0.11399494122495102	0.1513172415523747	0.21493234479026863
xy_scaley1	0.10797701879251341	0.13121171626438236	0.1752509307016313
xy_corr1	-0.2715553458611735	0.008023514294676556	0.296209935565105
