x	low	mean	high	median
0.05	3.678095265985024e-17	0.0007455070723965313	5.109814965557549e-10	1.1521131391042523e-13
0.15000000000000002	9.400726836203121e-14	0.0006057257598865339	4.4244595761199615e-08	5.5309043809113254e-11
0.25	9.776596374260442e-11	0.0005838971626069014	2.350078732353466e-06	1.3257204447199162e-08
0.35000000000000003	4.129008842036356e-08	0.0007052959766324442	7.46488460653493e-05	1.6192893138626973e-06
0.45	7.336871962754968e-06	0.001564223927079345	0.00142125513493057	9.802276349991649e-05
0.55	0.0005445440560003622	0.008840906871732316	0.01585226309414326	0.0029618083890192567
0.6500000000000001	0.01680354690340633	0.0652767617668763	0.11760660076471245	0.04472004444505532
0.75	0.2181162658130515	0.38250752169978686	0.5562763566980354	0.35413313637400506
0.8500000000000001	1.2116495412527546	1.4190340472516987	1.6203231479637565	1.4331225094049813
0.95	2.6111904593323354	2.898936439649544	3.1938515378741767	2.90676843346973
1.05	2.692688806510905	3.04097997566672	3.3861599638587663	3.061480975570524
1.1500000000000001	1.4448291565164526	1.6242499930375682	1.8030910447988302	1.6262416636142514
1.25	0.3015287549386167	0.46488805851395465	0.6326749732212293	0.4476959572278239
1.35	0.026169077918633564	0.08002821048946974	0.13797715465575427	0.06129118704626545
1.4500000000000002	0.0009699355354646153	0.00976793104636571	0.018335824436389044	0.004281907353484931
1.55	1.4845846381578035e-05	0.0010259605015057376	0.0015522509763426634	0.00015533654791810258
1.6500000000000001	9.563653658951014e-08	0.00013570302529581396	8.193147552630597e-05	2.805299467844227e-06
1.75	2.5337759230586643e-10	4.1188469880081566e-05	2.641836048155839e-06	2.5253847664201167e-08
1.85	2.8744685657649406e-13	2.3377085964305556e-05	5.0568209401675806e-08	1.1289635688846997e-10
1.9500000000000002	1.3085421472793386e-16	1.61111907808566e-05	5.81539370433724e-10	2.5565668995435045e-13
2.05	2.4469729936380553e-20	1.2069052250981285e-05	4.055745659249711e-12	2.92770168406034e-16
2.1500000000000004	1.9307499863762704e-24	9.547519026066744e-06	1.730139714167024e-14	1.6337338982728027e-19
2.25	6.005913823291812e-29	7.884010032124988e-06	4.3886563393991214e-17	4.562478543465918e-23
2.3500000000000005	8.018422291357824e-34	6.90258164626711e-06	6.648885733820793e-20	6.290387422095131e-27
2.45	4.382355886561924e-39	6.76067137146333e-06	6.114016873450241e-23	4.299195635046969e-31
