x	low	mean	high	median
0.05	0.36278685587695114	0.6643752985086696	1.0129932427984176	0.5885946073050283
0.15000000000000002	0.532055993668731	0.7128865771708316	0.9010989438955682	0.6991506182640488
0.25	0.6362372408362342	0.7847639250678257	0.9066451474342418	0.7680230406980034
0.35000000000000003	0.6123394413087263	0.8323413200301859	0.9716289743728492	0.850879066254338
0.45	0.5514357868168024	0.8386156222828048	1.036460261615134	0.9182588240311087
0.55	0.5021027930419114	0.829606456896868	1.0783186105377585	0.9230739215268473
0.6500000000000001	0.5024343961755088	0.832703418920886	1.0815394965347318	0.9204992863008912
0.75	0.6123488696614954	0.8587382919205584	1.0616889788617023	0.9094560931135758
0.8500000000000001	0.7223577298310778	0.8952808867943778	1.0849472069271417	0.8664956507574374
0.95	0.6497427937870118	0.8772855648110119	1.1578032084007361	0.773672033037316
1.05	0.5144438576965652	0.7328752723514385	1.0071889785540686	0.624591900831144
1.1500000000000001	0.36489448723120294	0.5006372244486194	0.6540047793300228	0.44450557720768585
1.25	0.20644337658219838	0.2921628588506511	0.37072156483122276	0.28546532984459316
1.35	0.0775383578513265	0.15902704941556106	0.22662376111332533	0.16543759587515322
1.4500000000000002	0.02438173060515996	0.08595380064494736	0.14021751247757858	0.0871756897270016
1.55	0.0070688773574602275	0.04683589944713922	0.08483492467656309	0.04349086442252394
1.6500000000000001	0.0018205639356543234	0.025572724574994352	0.04938602160946941	0.02112443638244793
1.75	0.00042246439646954795	0.013906318051780069	0.027990897152148694	0.009964277323372694
1.85	9.206087349784979e-05	0.007526866655585399	0.01551170920800173	0.00457107735076882
1.9500000000000002	1.7383573275283377e-05	0.00407286348070648	0.00847410900330939	0.001991375447138188
2.05	3.0133291409149936e-06	0.00222055691990635	0.004590336255215238	0.000829699469749195
2.1500000000000004	4.598377138830018e-07	0.0012313747486874102	0.0024212327590873604	0.000333138046544459
2.25	6.953999983543309e-08	0.0007014833339404208	0.0012609665096924817	0.00012568903326755642
2.3500000000000005	9.278793284045827e-09	0.0004158010572829249	0.0006351783922959977	4.526505885306691e-05
2.45	1.1548240007547845e-09	0.0002625436147183873	0.0003185429955286894	1.5321439470958425e-05
