name	low	median	high
xy_mux0	0.932521062461425	0.9925390273722157	1.0513754638439519
xy_muy0	0.9148182858603896	0.9643619972640047	1.0135350718787948
xy_scalex0	0.11258077430900358	0.14687303186362283	0.2035066319347341
xy_scaley0	0.10775611084913146	0.12930098465246	0.1676330074350814
xy_corr0	-0.2199621407319791	0.062440647552580886	0.3563541054775712
xy_amp1	0.011674067765843595	0.07248008344617021	0.182005807248073
xy_mux1	-1.4207232690408864	0.025560599301804793	0.6654497516219049
xy_muy1	-1.1459339761156155	0.19299787862338635	0.7843197231936256
xy_scalex1	0.14659148075424494	0.34340330633420135	0.8732242606639044
xy_scaley1	0.1387152433945414	0.30288600944574684	0.8008625267906572
xy_corr1	-0.3308922495767569	-0.026792692902596324	0.2752234222128265
xy_amp2	0.3324794820463551	0.44079136584411754	0.5289851398038411
xy_mux2	0.0494080235693764	0.2792919019021486	0.3675207649197152
xy_muy2	0.2557932102520441	0.39487037597864855	0.4835447075446739
xy_scalex2	0.12048116080908532	0.1909653399828639	0.3705979560749332
xy_scaley2	0.12558350495705642	0.19731554096746667	0.33887764694862904
xy_corr2	-0.3028325334014305	-0.006474130413916328	0.2860548923637627
